Orig_FID,Class,Quadrant,District,Orig_area,ISEA3H24Area,ISEA3H24DiffArea,ISEA3H25Area,ISEA3H25DiffArea,ISEA3H26Area,ISEA3H26DiffArea,ISEA3H27Area,ISEA3H27DiffArea,ISEA3H28Area,ISEA3H28DiffArea,ISEA4H18Area,ISEA4H18DiffArea,ISEA4H19Area,ISEA4H19DiffArea,ISEA4H20Area,ISEA4H20DiffArea,ISEA4H21Area,ISEA4H21DiffArea,ISEA4H22Area,ISEA4H22DiffArea,ISEA4T17Area,ISEA4T17DiffArea,ISEA4T18Area,ISEA4T18DiffArea,ISEA4T19Area,ISEA4T19DiffArea,ISEA4T20Area,ISEA4T20DiffArea,ISEA4T21Area,ISEA4T21DiffArea,ISEA4D18Area,ISEA4D18DiffArea,ISEA4D19Area,ISEA4D19DiffArea,ISEA4D20Area,ISEA4D20DiffArea,ISEA4D21Area,ISEA4D21DiffArea,ISEA4D22Area,ISEA4D22DiffArea
10,Building/Paved,NE,707C,94.33531305,725.0261831,630.6908701,362.5130898,268.1777768,174.5963873,80.26107422,147.6905184,53.35520536,123.075432,28.74011892,1489.889169,1395.553856,372.4722948,278.1369818,279.3542188,185.0189058,186.2361463,91.90083327,142.5870494,48.25173639,1489.889121,1395.553808,744.9445844,650.6092714,558.7084383,464.3731253,232.7951834,138.4598704,174.5963873,80.26107422,1489.889169,1395.553856,744.9445846,650.6092715,325.9132568,231.5779438,209.5156646,115.1803516,142.5870494,48.25173636
11,Building/Paved,NE,707C,22113.03755,30994.86706,8881.82951,27671.83065,5558.793091,24554.07016,2441.032608,24328.65457,2215.617015,23341.81346,1228.775907,37992.1712,15879.13364,30915.19809,8802.160536,26957.68027,4844.642719,24757.76593,2644.728375,23471.57264,1358.535086,53636.0062,31522.96865,37619.69886,15506.66131,29890.89936,7777.861808,26282.57427,4169.536718,24554.07016,2441.032608,44696.67188,22583.63433,33708.74009,11595.70253,28121.65609,6008.618534,25491.07071,3378.033154,24044.83073,1931.793177
12,Building/Paved,NE,707I,16626.6461,23925.86144,7299.215345,21388.27007,4761.623979,18594.51324,1967.867144,18340.47514,1713.829046,17631.11319,1004.467091,31287.66917,14661.02307,24024.46033,7397.814235,20346.2968,3719.650709,18868.04756,2241.401462,17741.90097,1115.254876,38737.11432,22110.46822,29425.30803,12798.66194,23465.75195,6839.105859,20392.85586,3766.20976,18594.51324,1967.867144,35757.33636,19130.69027,26445.52998,9818.883884,21789.6268,5162.980708,19298.71859,2672.072496,18067.81419,1441.168094
13,Building/Paved,NE,801F,6413.921722,9606.59674,3192.675018,8337.800926,1923.879204,7030.414391,616.4926696,7042.152315,628.2305937,6755.722225,341.8005036,12664.05773,6250.136005,9498.043281,3084.121559,7915.036072,1501.11435,7228.290293,814.3685708,6815.078852,401.15713,17878.66959,11464.74787,12291.58537,5877.663646,9032.452911,2618.53119,7752.07944,1338.157719,7030.414391,616.4926696,14898.89134,8484.969616,10429.22398,4015.302255,8427.185455,2013.263733,7367.9674,954.0456779,6922.746622,508.8249
14,Building/Paved,NE,801F,23584.50228,32444.92209,8860.419811,29001.04767,5416.545392,25630.75,2046.247719,25382.62992,1798.12764,24527.81509,943.312809,41716.89743,18132.39515,32032.61764,8448.115366,28075.09946,4490.597182,25700.58856,2116.086277,24682.10962,1097.607337,56615.78907,33031.28679,40971.95272,17387.45044,31846.38146,8261.879186,27469.83197,3885.32969,25630.75,2046.247719,49911.28786,26326.78558,36316.04904,12731.54676,29658.10672,6073.604438,26724.88737,3140.385094,25130.24035,1545.73807
15,Building/Paved,NE,707I,4998.376327,8337.801594,3339.425267,6706.492598,1708.116271,5651.10341,652.7270829,5578.674015,580.2976888,5312.383518,314.0071913,11919.1141,6920.737769,8194.390938,3196.014611,6425.147442,1426.771115,5773.320889,774.9445621,5351.379593,353.0032661,13409.00348,8410.627158,10056.75255,5058.376226,7915.036699,2916.660373,6308.749841,1310.373514,5651.10341,652.7270829,13409.00341,8410.627082,9498.044045,4499.667718,7030.414956,2032.038629,6006.116087,1007.739761,5505.606412,507.2300856
16,Building/Paved,NE,801J,5951.469953,9244.084203,3292.61425,7733.612937,1782.142983,6570.644327,619.1743738,6518.522714,567.0527607,6274.609575,323.1396215,12664.05843,6712.588475,8939.335413,2987.86546,7309.76906,1358.299107,6634.663001,683.1930479,6320.389492,368.9195388,16388.78157,10437.31162,10429.22469,4477.754737,8287.508894,2336.038941,7146.812437,1195.342484,6570.644327,619.1743738,12664.05855,6712.588598,9498.043895,3546.573941,7728.80042,1777.330467,6832.53892,881.0689668,6407.687691,456.2177378
17,Building/Paved,NE,801F,87.85350877,725.0262669,637.1727581,302.0942775,214.2407687,151.3168865,63.46337774,154.4037418,66.55023302,120.837711,32.9842022,2234.834017,2146.980509,558.7085044,470.8549956,325.9132933,238.0597845,186.2361679,98.38265913,125.1274254,37.27391659,1489.889392,1402.035883,372.4723426,284.6188338,279.354253,191.5007442,232.7952101,144.9417013,151.3168865,63.46337774,744.9446844,657.0911757,372.472339,284.6188303,279.3542521,191.5007433,186.236168,98.38265927,139.677126,51.82361721
18,Building/Paved,NE,801F,11959.97014,16131.83863,4171.868493,14440.11025,2480.140113,12908.49778,948.5276398,12828.94034,868.9702057,12432.86108,472.8909399,20113.51132,8153.541178,16016.31463,4056.344495,14293.62963,2333.659489,13083.09422,1123.124087,12544.75517,584.7850278,26818.01566,14858.04552,19368.56662,7408.596481,15364.48791,3404.51777,13618.52336,1658.553226,12908.49778,948.5276398,22348.3461,10388.37596,16761.25954,4801.289406,14293.62965,2333.659514,13304.24974,1344.279601,12646.6031,686.6329611
19,Building/Paved,NE,707C,17662.71767,26463.46526,8800.747596,23080.00849,5417.290819,20596.56129,2933.843618,20367.87254,2705.154869,19416.83476,1754.117089,32032.62866,14369.91099,25700.59748,8037.879809,22674.25905,5011.541383,20846.8162,3184.098532,19653.74045,1991.022786,40227.0225,22564.30484,29425.32188,11762.60421,25048.7708,7386.053136,22348.34565,4685.627986,20596.56129,2933.843618,34267.46343,16604.74576,27376.72347,9714.005805,23512.32199,5849.604326,21370.60555,3707.887882,19985.47371,2322.756044
20,Building/Paved,NE,801F,5388.438275,8337.802187,2949.363913,7310.681635,1922.243361,5994.476753,606.0384779,5994.893201,606.4549263,5737.553628,349.1153534,11919.11498,6530.676709,8380.6277,2992.189425,6983.856415,1595.41814,6145.793643,757.3553681,5799.510761,411.0724865,17878.67255,12490.23428,10801.69797,5413.259693,8101.273442,2712.835167,6727.781681,1339.343407,5994.476753,606.0384779,14153.94905,8765.510773,9498.044723,4109.606448,7449.446845,2061.00857,6343.669574,955.2312991,5895.538788,507.100513
21,Building/Paved,NE,707I,11090.92101,15044.2947,3953.373687,13050.4725,1959.551486,11919.11449,828.1934719,11815.2426,724.3215802,11510.91059,419.9895739,19368.56099,8277.639973,14898.8931,3807.972082,13222.76764,2131.846624,12093.71089,1002.78988,11532.09246,441.1714477,25328.11828,14237.19727,18623.61632,7532.695303,13688.35803,2597.437018,12547.66154,1456.740525,11919.11449,828.1934719,21603.39493,10512.47392,15085.12925,3994.208238,13222.76763,2131.846617,12256.66753,1165.746519,11668.85965,577.9386309
22,Building/Paved,NE,707I,6026.20345,9606.598371,3580.394922,7794.032644,1767.829194,6710.322171,684.1187216,6646.074348,619.8708979,6366.357413,340.1539633,13409.00458,7382.801132,8566.86404,2540.66059,7728.801254,1702.597805,6751.061336,724.8578858,6428.057971,401.8545214,22348.34104,16322.13759,11919.11521,5892.911761,8846.218311,2820.014861,7309.76986,1283.56641,6710.322171,684.1187216,14898.89401,8872.690564,10242.98963,4216.786178,8008.155515,1981.952065,7053.695118,1027.491668,6544.45558,518.2521297
23,Building/Paved,NE,801J,535.0546519,1631.309181,1096.254529,1027.1206,492.065948,657.6465041,122.5918522,678.0338593,142.9792073,631.0414132,95.98676133,3724.723555,3189.668903,1862.361778,1327.307126,1163.976111,628.9214596,756.5844732,221.5298213,651.8266229,116.771971,2979.77884,2444.724188,1117.417073,582.3624211,931.1808891,396.1262372,931.1808891,396.1262372,657.6465041,122.5918522,1489.889446,954.8347937,1117.417067,582.362415,1024.298978,489.2443262,698.3856677,163.3310158,631.457041,96.40238904
24,Building/Paved,NE,801G,5152.929834,8700.315604,3547.385771,7069.006435,1916.076602,5895.538971,742.6091378,5759.931162,607.0013287,5524.968935,372.0391012,11919.11536,6766.185522,8753.100315,3600.170481,6844.1795,1691.249666,5994.476938,841.5471047,5578.355483,425.4256488,17878.67279,12725.74296,10429.22589,5276.296053,8287.509868,3134.580034,6541.545711,1388.615878,5895.538971,742.6091378,13409.00471,8256.07488,9684.281198,4531.351364,7170.092811,2017.162977,6215.632401,1062.702567,5680.203392,527.273558
25,Building/Paved,NE,707C,12314.10156,16856.86074,4542.759181,14681.78197,2367.68041,13182.02884,867.9272845,13137.74455,823.6429875,12772.99367,458.8921142,20113.50626,7799.404702,17133.72754,4819.625984,14153.94885,1839.847295,13315.88609,1001.784531,12829.92609,515.8245262,25328.11863,13014.01707,19368.56149,7054.459932,15736.95629,3422.854727,14200.5079,1886.40634,13182.02884,867.9272845,22348.34018,10034.23862,17133.72755,4819.625987,14898.89353,2584.791975,13571.96082,1257.859263,12957.96345,643.861895
26,Building/Paved,NE,801J,3230.792374,5075.18418,1844.391806,4350.157869,1119.365495,3666.524789,435.7324147,3631.844764,401.0523905,3448.350452,217.5580777,8194.391958,4963.599584,5400.849221,2170.056847,4143.754998,912.9626239,3782.922401,552.1300275,3483.198549,252.4061747,11919.11554,8688.32317,6332.030122,3101.237748,5307.731131,2076.938757,4190.314044,959.5216702,3666.524789,435.7324147,8194.391948,4963.599574,6145.793946,2915.001572,4609.345448,1378.553074,3864.40073,633.6083557,3547.217236,316.4248621
27,Building/Paved,NE,707C,11156.22731,14681.78231,3525.555002,13473.40514,2317.177838,12052.97233,896.7450273,11942.7941,786.566793,11640.69981,484.4725073,19368.56208,8212.334776,15643.83855,4487.611241,13129.65021,1973.4229,12163.55006,1007.322753,11695.04969,538.8223805,25328.11973,14171.89243,18251.14487,7094.917563,14898.89385,3742.666545,12920.13453,1763.907221,12052.97233,896.7450273,21603.39594,10447.16863,16388.78324,5232.555933,13595.24066,2439.013349,12396.34528,1240.117972,11811.44729,655.2199875
28,Building/Paved,NE,801F,65.35288893,543.7699722,478.4170833,362.5133148,297.1604259,139.677196,74.32430702,120.8377716,55.48488268,89.50946032,24.15657139,744.945055,679.5921661,558.7087828,493.3558938,232.7953262,167.4424372,116.3976631,51.04477419,101.8479553,36.49506637,2979.78022,2914.427331,1117.417554,1052.064665,372.4725203,307.1196314,256.0748592,190.7219703,139.677196,74.32430702,1489.890063,1424.537175,558.7087783,493.3558894,325.9134568,260.5605678,162.9567286,97.60383966,104.7578969,39.40500801
29,Building/Paved,NE,801F,1753.517066,3081.36193,1327.844864,2598.011046,844.4939794,2060.237816,306.7207496,2013.962053,260.4449865,1908.788478,155.2714121,5214.613188,3461.096122,3538.48754,1784.970473,2421.070424,667.5533576,2164.99567,411.4786039,1908.920914,155.4038474,5959.558016,4206.04095,4097.196121,2343.679054,2979.778997,1226.261931,2397.790905,644.2738391,2060.237816,306.7207496,5214.613261,3461.096194,3538.487568,1784.970501,2653.865663,900.3485969,2176.635433,423.1183664,1978.759483,225.2424168
30,Building/Paved,NE,801F,13174.26443,16675.60492,3501.340489,15467.22778,2292.963355,14060.83138,886.5669568,13936.6167,762.3522695,13600.95637,426.691946,22348.34131,9174.07688,17506.20069,4331.936265,15364.48463,2190.220203,14165.58924,991.3248088,13697.08885,522.8244267,29797.78821,16623.52378,19741.03472,6566.770293,16481.90168,3307.637256,15131.68941,1957.424986,14060.83138,886.5669568,22348.34115,9174.076726,17878.673,4704.408576,15876.63412,2702.369692,14421.66398,1247.399549,13798.93676,624.6723341
31,Building/Paved,NE,801F,134.221817,725.0265732,590.8047562,302.0944059,167.8725889,209.515778,75.293961,221.5358976,87.31408062,176.7811707,42.55935367,2234.834969,2100.613152,744.9449873,610.7231703,325.9134325,191.6916155,256.0748397,121.8530227,192.0561298,57.8343128,1489.89003,1355.668213,744.9449905,610.7231735,558.708743,424.486926,325.9134329,191.6916159,209.515778,75.293961,1489.889982,1355.668165,744.9449908,610.7231738,419.0315566,284.8097396,244.4350743,110.2132573,194.9660711,60.74425413
32,Building/Paved,NE,801F,7161.947066,10694.13838,3532.191314,9304.504575,2142.557509,7938.317379,776.3703127,7921.583993,759.6369267,7588.161389,426.2143235,14898.89482,7736.94775,10429.22636,3267.27929,9032.454964,1870.507898,8089.634284,927.687218,7656.05316,494.1060945,23838.23149,16676.28442,13781.4777,6619.530638,10522.34442,3360.397352,8939.336878,1777.389812,7938.317379,776.3703127,17133.72903,9971.781968,11919.1158,4757.168733,9591.163525,2429.216459,8264.230703,1102.283637,7725.891732,563.9446656
33,Building/Paved,NE,801F,85.95252515,543.7697819,457.8172568,362.5131889,276.5606637,139.6771477,53.72462256,140.9773514,55.02482626,123.0754656,37.12294041,1489.889559,1403.937034,558.7085937,472.7560685,279.3542957,193.4017705,174.5964347,88.64390955,136.767207,50.81468187,2979.779211,2893.826686,744.9447794,658.9922542,558.7085846,472.7560595,256.0747703,170.1222452,139.6771477,53.72462256,1489.889559,1403.937034,744.9447795,658.9922544,325.9133443,239.9608191,162.9566723,77.00414716,125.1274449,39.17491976
34,Building/Paved,NE,801G,154.2617268,725.0265347,570.7648079,483.3510209,329.0892941,221.1555308,66.89380402,248.3887193,94.12699245,205.8717313,51.61000452,1489.889878,1335.628151,744.9449452,590.6832184,465.5905919,311.3288651,290.9941195,136.7323927,206.6058248,52.34409793,2979.779807,2825.51808,1117.417419,963.1556925,372.4724726,218.2107457,325.9134135,171.6516867,221.1555308,66.89380402,1489.889878,1335.628151,372.4724726,218.2107458,372.4724727,218.2107459,244.4350606,90.17333382,218.2455897,63.98386284
35,Building/Paved,NE,801G,5627.274644,8700.316387,3073.041743,7552.357975,1925.083331,6233.092602,605.8179578,6236.569383,609.2947388,5976.992042,349.7173975,11174.17159,5546.896943,8566.864896,2939.590252,7263.211546,1635.936902,6390.229388,762.9547442,6009.027181,381.7525365,20858.45382,15231.17917,11919.11636,6291.841717,8566.864892,2939.590248,6960.577731,1333.303087,6233.092602,605.8179578,14898.89545,9271.620806,10056.75444,4429.479792,7682.24298,2054.968336,6576.465583,949.1909392,6110.875099,483.6004554
36,Building/Paved,NE,801J,4466.302934,7069.007163,2602.704229,6162.724204,1696.42127,5028.377303,562.0743687,4987.912943,521.6100093,4746.237484,279.9345506,11174.17175,6707.868815,7263.211653,2796.908719,5912.999234,1446.6963,5121.495403,655.1924688,4798.491999,332.1890648,11919.11649,7452.813557,8194.392604,3728.08967,6425.148772,1958.845838,5750.042564,1283.739631,5028.377303,562.0743687,10429.22695,5962.924019,7449.447847,2983.144913,6285.471628,1819.168695,5307.731597,841.4286634,4885.790215,419.4872812
37,Building/Paved,NE,801F,307.5493946,906.2832176,598.733823,845.8643396,538.3149449,471.4105014,163.8611068,449.7850052,142.2356106,382.6529148,75.10352017,2234.834959,1927.285565,1117.417482,809.8680869,698.3859279,390.8365333,500.509915,192.9605204,389.9321432,82.38274857,2979.779953,2672.230558,2234.834964,1927.28557,744.9449891,437.3955944,581.9882732,274.4388786,471.4105014,163.8611068,2979.779952,2672.230558,1117.417484,809.8680895,744.9449893,437.3955947,547.068977,239.5195823,410.3017328,102.7523382
38,Building/Paved,NE,707G,6054.631662,9606.59955,3551.967888,8096.127923,2041.496261,6785.981449,731.3497872,6679.641197,625.0095352,6399.924229,345.2925672,12664.06142,6609.429756,9498.046081,3443.414419,7682.243153,1627.611491,6785.981451,731.3497892,6430.9687,376.337038,19368.56436,13313.9327,11174.17185,5119.540189,8659.983181,2605.351519,7519.286476,1464.654815,6785.981449,731.3497872,14153.95101,8099.319348,10056.75467,4002.123005,8240.951743,2186.320081,7135.17432,1080.542658,6596.835312,542.2036499
39,Building/Paved,NE,707G,13923.26804,18125.66014,4202.392103,15950.58098,2027.312938,14829.05776,905.7897259,14681.78475,758.51671,14377.45267,454.1846332,23093.28936,9170.021322,18251.148,4327.879964,15830.07736,1906.809323,14852.33729,929.0692515,14439.12571,515.857672,29797.79246,15874.52442,21230.92727,7307.659229,17133.73081,3210.462773,15736.95927,1813.691235,14829.05776,905.7897259,23838.23409,9914.966047,18437.38424,4514.116204,16388.78599,2465.51795,15178.25065,1254.982608,14540.97364,617.7055969
40,Building/Paved,NE,707G,6036.888442,9062.830626,3025.942183,7854.453209,1817.564767,6785.982094,749.0936521,6693.068249,656.1798068,6379.785215,342.8967728,12664.06267,6627.174231,9125.574538,3088.686096,7589.125775,1552.237333,6797.62186,760.7334181,6428.05937,391.1709275,16388.78698,10351.89853,11919.11775,5882.22931,8846.220234,2809.331792,7519.287191,1482.398749,6785.982094,749.0936521,14898.89719,8862.008749,10242.99186,4206.103413,8240.952526,2204.064083,7135.174998,1098.286555,6556.096767,519.208325
41,Building/Paved,NE,707C,12885.95315,16856.86443,3970.911282,15406.81159,2520.858439,13717.4608,831.5076518,13634.52476,748.5716073,13339.14362,453.1904709,20858.4554,7972.502255,17692.43988,4806.486731,14759.2196,1873.266453,13979.35547,1093.402324,13385.72755,499.7744051,26818.0144,13932.06125,19741.03833,6855.085178,16016.31401,3130.360866,14782.49913,1896.545981,13717.4608,831.5076518,23093.29008,10207.33693,17506.20369,4620.250541,15504.16444,2618.211293,14060.83381,1174.880663,13475.93572,589.9825678
42,Building/Paved,NE,801D,425.7235151,1087.539707,661.8161922,966.7019574,540.9784423,599.4478323,173.7243172,570.6226826,144.8991675,516.9170186,91.19350349,2979.779498,2554.055983,1303.65353,877.9300151,931.1810999,505.4575848,616.9074783,191.1839632,523.7893678,98.06585274,2979.779538,2554.056023,1117.417335,691.6938202,1024.299215,598.5756997,675.1062957,249.3827806,599.4478323,173.7243172,1489.889795,1064.16628,1117.417329,691.693814,698.3858222,272.6623071,628.5472411,202.823726,506.3297227,80.60620758
43,Building/Paved,NE,801D,3873.115977,6525.2382,2652.122223,5377.279636,1504.163659,4411.470456,538.3544791,4330.019181,456.9032042,4139.811619,266.6956425,8194.393661,4321.277684,6332.031473,2458.915496,5028.377938,1155.261961,4411.470455,538.3544781,4190.314943,317.1989669,16388.7876,12515.67162,9311.811011,5438.695034,6052.677143,2179.561166,4958.53935,1085.423373,4411.470456,538.3544791,11919.11811,8046.002129,7263.212574,3390.096597,5493.968482,1620.852505,4655.905494,782.7895175,4254.333645,381.2176682
44,Building/Paved,NE,801G,29.95647153,362.5132531,332.5567815,181.2566256,151.3001541,81.47835023,51.5218787,73.84529209,43.88882056,53.70566697,23.74919544,1489.889832,1459.93336,186.2362289,156.2797574,186.2362297,156.2797582,81.47835018,51.52187865,52.37893946,22.42246793,1489.889906,1459.933435,744.9449155,714.988444,558.7086869,528.7522154,139.6771718,109.7207002,81.47835023,51.5218787,744.9449158,714.9884443,744.9449158,714.9884443,186.2362289,156.2797574,104.7578789,74.80140734,55.2888805,25.33240897
45,Building/Paved,NE,801G,388.6242818,1450.053063,1061.428781,906.2831645,517.6588827,535.4291775,146.8048957,516.9170627,128.2927809,490.0642283,101.4399465,2234.83485,1846.210568,1303.653642,915.0293599,931.1811796,542.5568978,570.3484718,181.72419,474.320413,85.6961312,4469.669605,4081.045323,2607.307259,2218.682977,1024.299293,635.6750111,744.9449423,356.3206604,535.4291775,146.8048957,2979.779704,2591.155422,1117.417406,728.7931245,791.504001,402.8797192,570.3484717,181.7241898,474.3204127,85.6961309
46,Building/Paved,NE,801F,945.8579101,3262.619462,2316.761552,2295.917395,1350.059485,1454.970625,509.1127146,1403.060631,457.2027207,1201.664368,255.8064577,5214.614726,4268.756816,3352.25232,2406.39441,2048.59864,1102.74073,1524.809215,578.9513044,1225.085266,279.2273557,8939.339548,7993.481638,4842.142207,3896.284297,2979.77983,2033.92192,1955.480518,1009.622608,1454.970625,509.1127146,7449.449547,6503.591636,4283.433504,3337.575594,2607.307357,1661.449447,1757.604515,811.7466044,1338.572974,392.7150644
47,Building/Paved,NE,801D,4588.174207,7250.265323,2662.091116,6223.144406,1634.970199,5173.875449,585.7012423,5108.751776,520.5775691,4893.9291,305.754893,10429.22917,5841.054962,7449.44946,2861.275253,6006.118633,1417.944426,5296.092979,707.9187724,4949.809978,361.6357711,16388.789,11800.61479,8566.866919,3978.692711,6518.26828,1930.094073,5703.484748,1115.310541,5173.875449,585.7012423,11174.17424,6586.000037,7821.921934,3233.747727,6285.472988,1697.298781,5447.409922,859.235715,5028.37839,440.2041833
48,Building/Paved,NE,801G,7204.132052,15950.58295,8746.450897,13594.24684,6390.11479,9870.520084,2666.388031,9539.469039,2335.336986,8648.850078,1444.718025,21603.40228,14399.27023,16016.31554,8812.18349,12664.06348,5459.931431,10173.15395,2969.021896,8756.01267,1551.880618,26818.01713,19613.88508,20113.51278,12909.38073,15736.96124,8532.829185,11895.83905,4691.707001,9870.520084,2666.388031,23838.23735,16634.10529,17506.20541,10302.07336,13269.33123,6065.199179,10708.5831,3504.451049,9076.106182,1871.97413
49,Building/Paved,NE,801F,25678.73544,34801.2707,9122.535264,31296.9761,5618.240659,28156.58869,2477.853251,27819.5343,2140.798859,26884.16063,1205.425194,41716.91361,16038.17817,34081.22851,8402.493069,31241.12612,5562.390685,28342.82492,2664.089479,27021.71171,1342.976275,53636.03152,27957.29608,42089.38587,16410.65043,34733.05525,9054.319811,30286.66548,4607.930039,28156.58869,2477.853251,49166.36229,23487.62685,37805.9529,12127.21746,32172.30722,6493.571784,29215.8072,3537.071761,27455.29292,1776.557479
